No,Digimon,Stage,Type,Attribute,Memory,Equip Slots,HP,SP,Atk,Def,Int,Spd,Image
242,Kerpymon (Blk),Mega,Virus,Dark,20,3,1290,188,94,94,223,153,http://digidb.io/images/dot/dot774.png
243,Kerpymon (Good),Mega,Vaccine,Light,20,2,1290,188,94,104,208,158,http://digidb.io/images/dot/dot735.png
244,Goldramon,Mega,Vaccine,Light,20,2,1680,99,193,149,134,138,http://digidb.io/images/dot/dot048.png
245,SaberLeomon,Mega,Data,Wind,18,3,1680,99,228,104,84,163,http://digidb.io/images/dot/dot424.png
246,Sakuyamon,Mega,Data,Light,18,3,990,178,94,114,188,173,http://digidb.io/images/dot/dot425.png
247,Jesmon,Mega,Data,Neutral,22,2,1480,119,198,149,114,168,http://digidb.io/images/dot/dot749.png
248,ShineGreymon,Mega,Vaccine,Light,20,2,1880,114,203,109,84,158,http://digidb.io/images/dot/dot094.png
249,ShineGreymon BM,Mega,Vaccine,Fire,22,2,1980,114,228,104,84,168,http://digidb.io/images/dot/dot776.png
250,Justimon,Mega,Vaccine,Light,18,3,1530,99,193,158,99,144,http://digidb.io/images/dot/dot737.png
251,Kentaurosmon,Mega,Vaccine,Light,22,1,1140,153,139,154,154,183,http://digidb.io/images/dot/dot086.png
252,Slayerdramon,Mega,Vaccine,Wind,20,2,1530,148,169,129,129,153,http://digidb.io/images/dot/dot213.png
253,Seraphimon,Mega,Vaccine,Light,20,2,1480,162,94,144,198,135,http://digidb.io/images/dot/dot315.png
254,MegaGargomon,Mega,Vaccine,Electric,18,3,1430,132,149,139,119,144,http://digidb.io/images/dot/dot741.png
255,Darkdramon,Mega,Virus,Electric,18,3,1580,94,188,148,99,139,http://digidb.io/images/dot/dot771.png
256,TigerVespamon,Mega,Virus,Electric,18,3,1630,104,193,114,99,173,http://digidb.io/images/dot/dot745.png
257,Titamon,Mega,Virus,Earth,18,3,1930,99,183,128,114,129,http://digidb.io/images/dot/dot440.png
258,TyrantKabuterimon,Mega,Virus,Plant,20,2,1530,108,174,164,123,159,http://digidb.io/images/dot/dot128.png
259,Dianamon,Mega,Data,Water,20,3,790,178,89,154,198,183,http://digidb.io/images/dot/dot733.png
260,Diaboromon,Mega,Free,Dark,20,2,1680,114,243,104,79,173,http://digidb.io/images/dot/dot632.png
261,Creepymon,Mega,Virus,Dark,22,2,1440,133,183,114,183,140,http://digidb.io/images/dot/dot038.png
262,Gallantmon,Mega,Virus,Light,22,1,1480,148,149,154,149,148,http://digidb.io/images/dot/dot126.png
263,Dynasmon,Mega,Data,Wind,22,2,1680,114,213,129,94,178,http://digidb.io/images/dot/dot738.png
264,Durandamon,Mega,Vaccine,Neutral,20,2,1660,92,193,175,95,135,http://digidb.io/images/dot/dot700.png
265,Leopardmon,Mega,Data,Light,22,3,990,188,124,114,183,188,http://digidb.io/images/dot/dot739.png
266,Leopardmon LM,Mega,Data,Earth,25,3,1290,153,159,129,139,218,http://digidb.io/images/dot/dot743.png
267,Dorugoramon,Mega,Data,Dark,18,2,1640,91,225,134,88,145,http://digidb.io/images/dot/dot019.png
268,Neptunemon,Mega,Vaccine,Water,20,2,1440,137,158,130,173,139,http://digidb.io/images/dot/dot075.png
269,HiAndromon,Mega,Vaccine,Electric,18,3,1190,114,153,178,138,124,http://digidb.io/images/dot/dot426.png
270,PileVolcamon,Mega,Data,Fire,18,2,1330,109,173,163,111,137,http://digidb.io/images/dot/dot060.png
271,Barbamon,Mega,Virus,Dark,22,2,1330,184,84,129,233,133,http://digidb.io/images/dot/dot036.png
272,BanchoLeomon,Mega,Vaccine,Earth,18,3,1630,84,193,188,80,138,http://digidb.io/images/dot/dot049.png
273,Piedmon,Mega,Virus,Dark,18,3,890,178,129,104,183,163,http://digidb.io/images/dot/dot427.png
274,Puppetmon,Mega,Virus,Plant,18,3,1140,114,163,163,148,124,http://digidb.io/images/dot/dot428.png
275,PlatinumNumemon,Mega,Virus,Neutral,16,3,450,132,99,999,50,144,http://digidb.io/images/dot/dot069.png
276,BlackWarGreymon,Mega,Virus,Fire,20,2,1730,93,183,178,89,140,http://digidb.io/images/dot/dot175.png
277,PrinceMamemon,Mega,Data,Neutral,16,3,1630,137,104,173,109,130,http://digidb.io/images/dot/dot429.png
278,Breakdramon,Mega,Virus,Earth,20,2,1880,89,213,168,94,129,http://digidb.io/images/dot/dot214.png
279,Plesiomon,Mega,Data,Water,18,3,1680,153,74,114,188,129,http://digidb.io/images/dot/dot450.png
280,HerculesKabuterimon,Mega,Vaccine,Plant,18,3,1680,128,114,168,124,124,http://digidb.io/images/dot/dot306.png
281,Beelzemon,Mega,Virus,Dark,22,1,1680,114,228,119,99,168,http://digidb.io/images/dot/dot035.png
282,Beelzemon BM,Mega,Virus,Dark,25,2,1680,114,238,124,104,178,http://digidb.io/images/dot/dot775.png
283,Belphemon SM,Mega,Virus,Dark,22,1,1730,178,89,114,203,139,http://digidb.io/images/dot/dot439.png
284,Hououmon,Mega,Vaccine,Fire,18,3,1390,173,84,99,193,158,http://digidb.io/images/dot/dot310.png
285,Magnadramon,Mega,Vaccine,Light,20,2,1880,168,89,124,183,129,http://digidb.io/images/dot/dot453.png
286,Boltmon,Mega,Data,Electric,18,3,1580,83,198,163,84,140,http://digidb.io/images/dot/dot431.png
287,MagnaGarurumon,Mega,Free,Light,18,3,1480,122,175,104,114,183,http://digidb.io/images/dot/dot678.png
288,MagnaGarurumon (SV),Mega,Free,Light,18,3,1020,138,163,107,119,218,http://digidb.io/images/dot/dot675.png
289,Mastemon,Mega,Vaccine,Neutral,22,1,1340,144,173,134,173,149,http://digidb.io/images/dot/dot748.png
290,MarineAngemon,Mega,Vaccine,Water,18,3,1190,198,64,89,203,153,http://digidb.io/images/dot/dot024.png
291,Minervamon,Mega,Virus,Neutral,20,3,1580,114,208,114,119,168,http://digidb.io/images/dot/dot747.png
292,MirageGaogamon,Mega,Data,Wind,18,3,1480,114,183,114,109,178,http://digidb.io/images/dot/dot095.png
293,MirageGaogamon BM,Mega,Data,Light,20,3,1440,124,178,104,158,174,http://digidb.io/images/dot/dot777.png
294,Machinedramon,Mega,Virus,Electric,18,3,1240,114,173,183,128,124,http://digidb.io/images/dot/dot385.png
295,Megidramon,Mega,Virus,Fire,20,2,1690,120,199,132,109,153,http://digidb.io/images/dot/dot047.png
296,MetalEtemon,Mega,Virus,Earth,18,3,1630,128,134,188,89,124,http://digidb.io/images/dot/dot312.png
297,MetalGarurumon,Mega,Data,Water,18,3,1140,143,154,129,129,178,http://digidb.io/images/dot/dot135.png
298,MetalGarurumon (Blk),Mega,Virus,Electric,18,3,1190,128,163,173,133,130,http://digidb.io/images/dot/dot182.png
299,MetalSeadramon,Mega,Data,Water,18,3,1430,148,99,139,168,129,http://digidb.io/images/dot/dot434.png
300,Merukimon,Mega,Virus,Wind,20,2,1320,115,178,138,141,177,http://digidb.io/images/dot/dot080.png
301,RustTyranomon,Mega,Virus,Electric,18,3,1680,83,218,163,74,140,http://digidb.io/images/dot/dot383.png
302,Leviamon,Mega,Virus,Water,22,1,1730,120,168,158,144,133,http://digidb.io/images/dot/dot037.png
303,Lilithmon,Mega,Virus,Dark,22,2,940,203,99,104,223,173,http://digidb.io/images/dot/dot034.png
304,Ravemon,Mega,Vaccine,Wind,18,3,1040,143,139,119,139,203,http://digidb.io/images/dot/dot740.png
305,Ravemon BM,Mega,Vaccine,Wind,20,2,1040,133,149,139,144,213,http://digidb.io/images/dot/dot778.png
306,Crusadermon,Mega,Virus,Dark,22,2,1240,153,144,139,144,193,http://digidb.io/images/dot/dot703.png
307,Rosemon,Mega,Data,Plant,18,3,1330,147,144,129,149,144,http://digidb.io/images/dot/dot057.png
308,Rosemon BM,Mega,Data,Plant,20,3,1480,143,149,139,159,143,http://digidb.io/images/dot/dot779.png
309,Lotosmon,Mega,Data,Plant,18,3,940,188,74,109,213,168,http://digidb.io/images/dot/dot742.png
310,Armageddemon,Ultra,Free,Dark,25,1,1760,114,255,133,84,164,http://digidb.io/images/dot/dot106.png
311,Arcadiamon Ultra,Ultra,Virus,Dark,25,2,1510,158,204,109,134,170,http://digidb.io/images/dot/dot067.png
312,Alphamon Ouryuken,Ultra,Vaccine,Neutral,25,1,1530,133,179,149,159,153,http://digidb.io/images/dot/dot766.png
313,Imperialdramon PM,Ultra,Vaccine,Light,25,2,1530,158,154,154,154,153,http://digidb.io/images/dot/dot420.png
314,Examon,Ultra,Data,Wind,25,2,1730,148,179,139,134,153,http://digidb.io/images/dot/dot215.png
315,Omnimon,Ultra,Vaccine,Light,25,2,1680,104,208,168,134,144,http://digidb.io/images/dot/dot088.png
316,Omnimon Zwart,Ultra,Vaccine,Dark,25,2,1490,139,153,193,158,134,http://digidb.io/images/dot/dot757.png
317,Chaosmon,Ultra,Vaccine,Neutral,25,3,1080,129,318,94,89,188,http://digidb.io/images/dot/dot772.png
318,Chaosmon VA,Ultra,Vaccine,Light,25,3,790,138,254,84,204,168,http://digidb.io/images/dot/dot118.png
319,Susanomon,Ultra,Vaccine,Light,25,1,1630,129,183,158,149,149,http://digidb.io/images/dot/dot104.png
320,Gallantmon CM,Ultra,Virus,Light,25,2,1480,139,203,124,139,173,http://digidb.io/images/dot/dot105.png
321,Belphemon RM,Ultra,Virus,Dark,25,2,1780,84,247,168,109,140,http://digidb.io/images/dot/dot040.png
322,Lucemon SM,Ultra,Virus,Dark,25,2,1490,173,89,124,233,158,http://digidb.io/images/dot/dot435.png
323,Flamedramon,Armor,Free,Fire,8,3,1130,93,119,99,89,138,http://digidb.io/images/dot/dot716.png
324,Magnamon,Armor,Free,Earth,22,2,1240,124,168,208,148,124,http://digidb.io/images/dot/dot382.png
325,Rapidmon (Armor),Armor,Vaccine,Light,18,3,1140,114,158,178,158,124,http://digidb.io/images/dot/dot751.png
326,Shoutmon,None,Free,Fire,5,1,1030,62,128,101,55,87,http://digidb.io/images/dot/dot682.png
327,OmniShoutmon,None,Free,Fire,20,2,1510,141,166,144,114,165,http://digidb.io/images/dot/dot683.png
328,Ryudamon,Rookie,Vaccine,Neutral,5,1,790,73,123,97,57,102,http://digidb.io/images/dot/dot190.png
329,Ginryumon,Champion,Vaccine,Neutral,8,1,970,86,135,114,71,118,http://digidb.io/images/dot/dot191.png
330,Hisyaryumon,Ultimate,Vaccine,Neutral,14,1,1200,89,183,157,74,123,http://digidb.io/images/dot/dot192.png
331,Ouryumon,Mega,Vaccine,Neutral,20,2,1350,104,221,179,84,158,http://digidb.io/images/dot/dot193.png
332,Apocalymon,Ultra,Free,Neutral,25,1,1890,173,89,104,183,188,http://digidb.io/images/dot/dot328.png
333,Sistermon Blanc,Rookie,Vaccine,Light,4,1,880,105,53,72,116,82,http://digidb.io/images/dot/dot781.png
334,Sistermon B (Awake.),Rookie,Vaccine,Light,18,2,1310,175,72,112,191,165,http://digidb.io/images/dot/dot782.png
335,Sistermon Ciel,Champion,Virus,Light,6,2,840,111,96,87,95,139,http://digidb.io/images/dot/dot783.png
336,Sistermon C (Awake.),Champion,Virus,Light,18,2,1550,114,188,102,114,173,http://digidb.io/images/dot/dot784.png
337,Alphamon NX,Mega,Vaccine,Neutral,6,1,980,104,109,114,109,116,http://digidb.io/images/dot/dot901.png
338,Crusadermon NX,Mega,Virus,Dark,6,1,1030,100,118,99,109,121,http://digidb.io/images/dot/dot902.png
339,Leopardmon NX,Mega,Data,Light,6,1,960,109,112,91,116,126,http://digidb.io/images/dot/dot903.png
340,Omnimon NX,Mega,Vaccine,Light,6,1,1010,98,116,111,111,113,http://digidb.io/images/dot/dot904.png
341,Gallantmon NX,Mega,Virus,Light,6,1,1070,93,122,109,111,108,http://digidb.io/images/dot/dot905.png
